Country.Region,yr,estimates,pop,,citation
Djibouti,2019,Population mid-year estimates (millions),0.9736,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Dominica,2019,Population mid-year estimates (millions),0.0718,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Dominican Republic,2019,Population mid-year estimates (millions),10.7390,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Ecuador,2019,Population mid-year estimates (millions),17.3737,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Egypt,2019,Population mid-year estimates (millions),100.3881,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
El Salvador,2019,Population mid-year estimates (millions),6.4536,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Equatorial Guinea,2019,Population mid-year estimates (millions),1.3560,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Eritrea,2019,Population mid-year estimates (millions),3.4971,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Estonia,2019,Population mid-year estimates (millions),1.3256,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Eswatini,2019,Population mid-year estimates (millions),1.1481,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Ethiopia,2019,Population mid-year estimates (millions),112.0787,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Falkland Islands (Malvinas),2019,Population mid-year estimates (millions),0.0034,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Faroe Islands,2019,Population mid-year estimates (millions),0.0487,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Fiji,2019,Population mid-year estimates (millions),0.8900,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Finland,2019,Population mid-year estimates (millions),5.5322,Including Aland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019." 250,France,2019,Population mid-year estimates (millions),65.1297,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
French Guiana,2019,Population mid-year estimates (millions),0.2908,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
French Polynesia,2019,Population mid-year estimates (millions),0.2793,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Gabon,2019,Population mid-year estimates (millions),2.1726,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Gambia,2019,Population mid-year estimates (millions),2.3477,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Georgia,2019,Population mid-year estimates (millions),3.9968,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Germany,2019,Population mid-year estimates (millions),83.5170,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Ghana,2019,Population mid-year estimates (millions),30.4179,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Gibraltar,2019,Population mid-year estimates (millions),0.0337,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Greece,2019,Population mid-year estimates (millions),10.4735,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Greenland,2019,Population mid-year estimates (millions),0.0567,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Grenada,2019,Population mid-year estimates (millions),0.1120,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guadeloupe,2019,Population mid-year estimates (millions),0.4001,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guam,2019,Population mid-year estimates (millions),0.1673,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guatemala,2019,Population mid-year estimates (millions),17.5815,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guinea,2019,Population mid-year estimates (millions),12.7712,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guinea-Bissau,2019,Population mid-year estimates (millions),1.9209,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Guyana,2019,Population mid-year estimates (millions),0.7828,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Haiti,2019,Population mid-year estimates (millions),11.2631,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Holy See,2019,Population mid-year estimates (millions),0.0008,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Honduras,2019,Population mid-year estimates (millions),9.7461,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Hungary,2019,Population mid-year estimates (millions),9.6847,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Iceland,2019,Population mid-year estimates (millions),0.3390,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
India,2019,Population mid-year estimates (millions),1366.4178,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Indonesia,2019,Population mid-year estimates (millions),270.6256,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Iran (Islamic Republic of),2019,Population mid-year estimates (millions),82.9139,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Iraq,2019,Population mid-year estimates (millions),39.3098,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Ireland,2019,Population mid-year estimates (millions),4.8825,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Isle of Man,2019,Population mid-year estimates (millions),0.0846,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Israel,2019,Population mid-year estimates (millions),8.5194,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Italy,2019,Population mid-year estimates (millions),60.5501,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Jamaica,2019,Population mid-year estimates (millions),2.9483,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Japan,2019,Population mid-year estimates (millions),126.8603,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Jordan,2019,Population mid-year estimates (millions),10.1017,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Kazakhstan,2019,Population mid-year estimates (millions),18.5514,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Kenya,2019,Population mid-year estimates (millions),52.5740,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Kiribati,2019,Population mid-year estimates (millions),0.1176,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Kuwait,2019,Population mid-year estimates (millions),4.2071,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Kyrgyzstan,2019,Population mid-year estimates (millions),6.4159,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Lao People's Dem. Rep.,2019,Population mid-year estimates (millions),7.1695,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Latvia,2019,Population mid-year estimates (millions),1.9067,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Lebanon,2019,Population mid-year estimates (millions),6.8557,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Lesotho,2019,Population mid-year estimates (millions),2.1253,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Liberia,2019,Population mid-year estimates (millions),4.9374,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Libya,2019,Population mid-year estimates (millions),6.7775,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Liechtenstein,2019,Population mid-year estimates (millions),0.0380,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Lithuania,2019,Population mid-year estimates (millions),2.7596,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Luxembourg,2019,Population mid-year estimates (millions),0.6157,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Madagascar,2019,Population mid-year estimates (millions),26.9693,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Malawi,2019,Population mid-year estimates (millions),18.6287,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Malaysia,2019,Population mid-year estimates (millions),31.9498,Including Sabah and Sarawak.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Maldives,2019,Population mid-year estimates (millions),0.5310,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mali,2019,Population mid-year estimates (millions),19.6580,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Malta,2019,Population mid-year estimates (millions),0.4404,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Marshall Islands,2019,Population mid-year estimates (millions),0.0588,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Martinique,2019,Population mid-year estimates (millions),0.3756,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mauritania,2019,Population mid-year estimates (millions),4.5257,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mauritius,2019,Population mid-year estimates (millions),1.2697,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mayotte,2019,Population mid-year estimates (millions),0.2662,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mexico,2019,Population mid-year estimates (millions),127.5755,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Micronesia (Fed. States of),2019,Population mid-year estimates (millions),0.1138,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Monaco,2019,Population mid-year estimates (millions),0.0390,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mongolia,2019,Population mid-year estimates (millions),3.2252,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Montenegro,2019,Population mid-year estimates (millions),0.6280,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Montserrat,2019,Population mid-year estimates (millions),0.0050,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Morocco,2019,Population mid-year estimates (millions),36.4718,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Mozambique,2019,Population mid-year estimates (millions),30.3660,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
